Related Support,#Du cadre,Emplacement,Enjeux,Statut,Commentaire,Date d'inscription de l'enjeux,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
,HA-72737,Gare Dorion,Cadre bris√©,Actif,,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,41,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-80711,Carrefour du Nord (√Ä c√¥t√© du Maxi),Cadre difficile d'acc√®s,Actif,"Support est trop haut, n'est pas accessible",,12-07-2025 04:43 PM,12-07-2025 04:43 PM,42,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,TE-REPE-10,Dans le PDVS pr√®s de l'entr√©e c√¥t√© stationnement,Cadre difficile d'acc√®s,Actif,,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,43,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,MA-MASC-01,Gare Mascouche,√âcran sale - visible √† 100%,Actif,,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,44,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-71320 -03,"71320-Terminus Ste-Julie, quai 7",Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,47,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-71321 -03,"71321-Terminus Ste-Julie, quai 6",Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,48,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-71326 -03,"71326-Terminus Ste-Julie, quai 4",Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,49,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-71327 -03,"71327-Terminus Ste-Julie, quai 5",Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,50,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-72332,72332-Faubourg de l'√éle,Cadre manquant,Inactif,retirer le 2025-06-23,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,51,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-72740,72740-Saint-Charles/Brodeur,√âcran manquant,Inactif,,,12-07-2025 04:43 PM,03-03-2026 07:21 AM,52,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-72917,72917-Av. de la Fabrique (√©cole Papillon-Bleu),Cadre manquant,Inactif,aucun support pour un affichage de HA - valider le 2025-06-23,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,53,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-73010 -01,73010- Sir-Wilfrid-Laurier / Principale,Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,54,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-73010 -02,73010- Sir-Wilfrid-Laurier / Principale,Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,55,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-80203,80203-Oka / √âglise Holy Family,Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,56,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-81001,"81001-Terminus Saint-Eustache, sur rue",Cadre manquant,Inactif,Enjeux,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,57,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-83992,83992-Stationnement avenue des Bois,Cadre manquant,Inactif,EDT-MS-2025-35,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,58,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-87092 -01,87092-Iberville / Jacques-Plante,Cadre manquant,Inactif,,,12-07-2025 04:43 PM,02-14-2026 12:22 PM,59,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-87092 -02,87092-Iberville / Jacques-Plante,Cadre manquant,Inactif,,,12-07-2025 04:43 PM,12-07-2025 04:43 PM,60,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
,HA-87555,87555-Claude-David / Notre-Dame,Cadre manquant,Inactif,,,12-07-2025 04:43 PM,02-14-2026 12:22 PM,61,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
