Nom complet du C.I.,Enjeux,Commentaires,Photo,Date de la derniÃ¨re mise Ã  jour,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
MA-ANJO-CI2,Le C.I. est vide et n'a plus de cadres ni de portes,,,04-03-2026,03-21-2026 07:21 PM,04-14-2026 10:20 AM,1,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
MA-SAUV-CI1,Manque la porte de droite. La porte de gauche ne tient pratiquement pas. Probleme de pentures,,,01-10-2026,03-21-2026 07:22 PM,03-21-2026 07:22 PM,2,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
MA-SAUV-CI3,La porte de gauche est manquante. Celle de droite ne peut etre ouverte.,,,01-10-2026,03-21-2026 07:24 PM,03-21-2026 07:24 PM,3,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
CA-LASA-CI1,Graffiti sur toute la porte. Visibilite nulle.,,,01-10-2026,03-21-2026 07:31 PM,03-21-2026 07:31 PM,4,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
MSH-SBAS-CI1,Porte de droite ne peux etre barree adequatement.,,,01-10-2026,03-21-2026 07:32 PM,03-21-2026 07:32 PM,5,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
COM-VEND-CI1,La porte de droite est manquante,,,01-10-2026,03-21-2026 08:16 PM,03-21-2026 08:16 PM,6,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
SJ-SJER-CI2,Les deux portes sont manquantes,,,01-10-2026,03-21-2026 08:17 PM,03-21-2026 08:17 PM,7,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
SJ-MIRA-CI1,Plusieurs cadres dans le C.I. sont brises et ne peuvent tenir dâ€™affiches,,,01-10-2026,03-21-2026 08:18 PM,03-21-2026 08:18 PM,8,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
SJ-BLAI-CI2,La porte de droite est manquante. La porte de gauche est sur le point de tomber et ne peut plus etre barree convenablement,,,01-10-2026,03-21-2026 08:19 PM,03-21-2026 08:19 PM,9,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
SJ-CONC-CI1,Porte de gauche ne peut etre ouverte au complet ni barree convenablement,,,01-10-2026,03-21-2026 08:20 PM,03-21-2026 08:20 PM,10,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
VH-BEAC-CI2,Porte de droite manquante. Porte de gauche ne peut etre ouverte ou barree.,,,01-10-2026,03-21-2026 08:21 PM,03-21-2026 08:21 PM,11,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
MA-AHUN-CI1,Porte de gauche sur le point de tomber et tient seulement par la vis du bas. Ne peut plus etre ouvert.,,,01-10-2026,03-21-2026 08:23 PM,03-21-2026 08:23 PM,12,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
MA-AHUN-CI2,Porte de droite ne peut etre barree convenablement,,,01-10-2026,03-21-2026 08:24 PM,03-21-2026 08:24 PM,13,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
SJ-SROS-CI2,Porte de gauche ne peut pas Ãªtre barree adequatement (vis anti-vandalisme du bas),,,01-10-2026,03-21-2026 09:18 PM,03-21-2026 09:18 PM,14,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
MSH-MSH-CI2,Toilette portative cache toute la porte droite. Visibilite nulle de lâ€™information,,,01-10-2026,03-23-2026 09:23 AM,03-23-2026 09:23 AM,15,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
MSH-MSH-CI1,Porte gauche ne peut etre barree adequatement.,,,01-10-2026,03-23-2026 09:24 AM,03-23-2026 09:24 AM,16,Simon Bégin <67952005.bxtw>,Simon Bégin <67952005.bxtw>
